input,output,category,complexity,type
Was bedeutet 'rennengehen'?,Sich langsam fortbewegen (Variante),bewegungen,2,word_meaning
Zu welcher Kategorie gehört 'rennengehen'?,bewegungen,bewegungen,2,categorization
Verwende 'rennengehen' in einem Satz.,Ich kann rennengehen.,bewegungen,2,sentence_generation
Verwende 'rennengehen' in einem Satz.,Wir rennengehen zusammen.,bewegungen,2,sentence_generation
Was bedeutet 'nicht_var125'?,Schlussfolgerung (Variante),logik,5,word_meaning
Zu welcher Kategorie gehört 'nicht_var125'?,logik,logik,5,categorization
Verwende 'nicht_var125' in einem Satz.,Nicht_var125 das stimmt.,logik,5,sentence_generation
Verwende 'nicht_var125' in einem Satz.,Das ist nicht_var125 wahr.,logik,5,sentence_generation
Was bedeutet 'oderund'?,Verbindung (Variante),logik,5,word_meaning
Zu welcher Kategorie gehört 'oderund'?,logik,logik,5,categorization
Verwende 'oderund' in einem Satz.,Oderund das stimmt.,logik,5,sentence_generation
Verwende 'oderund' in einem Satz.,Das ist oderund wahr.,logik,5,sentence_generation
Was bedeutet 'wennweil'?,Gegensatz (Variante),logik,5,word_meaning
Zu welcher Kategorie gehört 'wennweil'?,logik,logik,5,categorization
Verwende 'wennweil' in einem Satz.,Wennweil das stimmt.,logik,5,sentence_generation
Verwende 'wennweil' in einem Satz.,Das ist wennweil wahr.,logik,5,sentence_generation
Was bedeutet 'weile'?,Gegensatz (Variante),logik,5,word_meaning
Zu welcher Kategorie gehört 'weile'?,logik,logik,5,categorization
Verwende 'weile' in einem Satz.,Weile das stimmt.,logik,5,sentence_generation
Verwende 'weile' in einem Satz.,Das ist weile wahr.,logik,5,sentence_generation
Was bedeutet 'haus_var117'?,Gebäude zum Wohnen (Variante),objekte,1,word_meaning
Zu welcher Kategorie gehört 'haus_var117'?,objekte,objekte,1,categorization
Verwende 'haus_var117' in einem Satz.,Das ist ein haus_var117.,objekte,1,sentence_generation
Verwende 'haus_var117' in einem Satz.,Ich brauche einen haus_var117.,objekte,1,sentence_generation
Was bedeutet 'vierzehn'?,Zahl 10 (Variante),zahlen,1,word_meaning
Zu welcher Kategorie gehört 'vierzehn'?,zahlen,zahlen,1,categorization
Verwende 'vierzehn' in einem Satz.,Ich zähle bis vierzehn.,zahlen,1,sentence_generation
Verwende 'vierzehn' in einem Satz.,Vierzehn Dinge.,zahlen,1,sentence_generation
Was bedeutet 'wachkalt'?,Bedürfnis nach Schlaf (Variante),zustände,2,word_meaning
Zu welcher Kategorie gehört 'wachkalt'?,zustände,zustände,2,categorization
Verwende 'wachkalt' in einem Satz.,Ich bin wachkalt.,zustände,2,sentence_generation
Verwende 'wachkalt' in einem Satz.,Du siehst wachkalt aus.,zustände,2,sentence_generation
Was bedeutet 'schwarzbraun'?,Abwesenheit von Licht (Variante),farben,1,word_meaning
Zu welcher Kategorie gehört 'schwarzbraun'?,farben,farben,1,categorization
Verwende 'schwarzbraun' in einem Satz.,Das ist schwarzbraun.,farben,1,sentence_generation
Verwende 'schwarzbraun' in einem Satz.,Ich sehe etwas schwarzbraunes.,farben,1,sentence_generation
Was bedeutet 'bewerten_var103'?,Systematisch untersuchen (Variante),aktionen,4,word_meaning
Zu welcher Kategorie gehört 'bewerten_var103'?,aktionen,aktionen,4,categorization
Verwende 'bewerten_var103' in einem Satz.,Ich bewerten_var103 darüber.,aktionen,4,sentence_generation
Verwende 'bewerten_var103' in einem Satz.,Wir müssen bewerten_var103.,aktionen,4,sentence_generation
Was bedeutet 'nichtdann'?,Alternative (Variante),logik,5,word_meaning
Zu welcher Kategorie gehört 'nichtdann'?,logik,logik,5,categorization
Verwende 'nichtdann' in einem Satz.,Nichtdann das stimmt.,logik,5,sentence_generation
Verwende 'nichtdann' in einem Satz.,Das ist nichtdann wahr.,logik,5,sentence_generation
Was bedeutet 'traurigkrank'?,Bedürfnis nach Schlaf (Variante),zustände,2,word_meaning
Zu welcher Kategorie gehört 'traurigkrank'?,zustände,zustände,2,categorization
Verwende 'traurigkrank' in einem Satz.,Ich bin traurigkrank.,zustände,2,sentence_generation
Verwende 'traurigkrank' in einem Satz.,Du siehst traurigkrank aus.,zustände,2,sentence_generation
Was bedeutet 'kriechen_var117'?,Sich in die Luft bewegen (Variante),bewegungen,2,word_meaning
Zu welcher Kategorie gehört 'kriechen_var117'?,bewegungen,bewegungen,2,categorization
Verwende 'kriechen_var117' in einem Satz.,Ich kann kriechen_var117.,bewegungen,2,sentence_generation
Verwende 'kriechen_var117' in einem Satz.,Wir kriechen_var117 zusammen.,bewegungen,2,sentence_generation
Was bedeutet 'zehnneun'?,Zahl 7 (Variante),zahlen,1,word_meaning
Zu welcher Kategorie gehört 'zehnneun'?,zahlen,zahlen,1,categorization
Verwende 'zehnneun' in einem Satz.,Ich zähle bis zehnneun.,zahlen,1,sentence_generation
Verwende 'zehnneun' in einem Satz.,Zehnneun Dinge.,zahlen,1,sentence_generation
Was bedeutet 'gelbschwarz'?,Abwesenheit von Licht (Variante),farben,1,word_meaning
Zu welcher Kategorie gehört 'gelbschwarz'?,farben,farben,1,categorization
Verwende 'gelbschwarz' in einem Satz.,Das ist gelbschwarz.,farben,1,sentence_generation
Verwende 'gelbschwarz' in einem Satz.,Ich sehe etwas gelbschwarzes.,farben,1,sentence_generation
Was bedeutet 'orangegrün'?,Farbe der Sonne (Variante),farben,1,word_meaning
Zu welcher Kategorie gehört 'orangegrün'?,farben,farben,1,categorization
Verwende 'orangegrün' in einem Satz.,Das ist orangegrün.,farben,1,sentence_generation
Verwende 'orangegrün' in einem Satz.,Ich sehe etwas orangegrünes.,farben,1,sentence_generation
Was bedeutet 'weißrosa'?,Farbe der Blätter (Variante),farben,1,word_meaning
Zu welcher Kategorie gehört 'weißrosa'?,farben,farben,1,categorization
Verwende 'weißrosa' in einem Satz.,Das ist weißrosa.,farben,1,sentence_generation
Verwende 'weißrosa' in einem Satz.,Ich sehe etwas weißrosaes.,farben,1,sentence_generation
Was bedeutet 'buch_var125'?,Gebäude zum Wohnen (Variante),objekte,1,word_meaning
Zu welcher Kategorie gehört 'buch_var125'?,objekte,objekte,1,categorization
Verwende 'buch_var125' in einem Satz.,Das ist ein buch_var125.,objekte,1,sentence_generation
Verwende 'buch_var125' in einem Satz.,Ich brauche einen buch_var125.,objekte,1,sentence_generation
Was bedeutet 'fenster_var141'?,Sammlung von Seiten (Variante),objekte,1,word_meaning
Zu welcher Kategorie gehört 'fenster_var141'?,objekte,objekte,1,categorization
Verwende 'fenster_var141' in einem Satz.,Das ist ein fenster_var141.,objekte,1,sentence_generation
Verwende 'fenster_var141' in einem Satz.,Ich brauche einen fenster_var141.,objekte,1,sentence_generation
Was bedeutet 'autohaus'?,Gebäude zum Wohnen (Variante),objekte,1,word_meaning
Zu welcher Kategorie gehört 'autohaus'?,objekte,objekte,1,categorization
Verwende 'autohaus' in einem Satz.,Das ist ein autohaus.,objekte,1,sentence_generation
Verwende 'autohaus' in einem Satz.,Ich brauche einen autohaus.,objekte,1,sentence_generation
Was bedeutet 'rotorange'?,Farbe der Blätter (Variante),farben,1,word_meaning
Zu welcher Kategorie gehört 'rotorange'?,farben,farben,1,categorization
Verwende 'rotorange' in einem Satz.,Das ist rotorange.,farben,1,sentence_generation
Verwende 'rotorange' in einem Satz.,Ich sehe etwas rotorangees.,farben,1,sentence_generation
Was bedeutet 'zehnzwei'?,Zahl 6 (Variante),zahlen,1,word_meaning
Zu welcher Kategorie gehört 'zehnzwei'?,zahlen,zahlen,1,categorization
Verwende 'zehnzwei' in einem Satz.,Ich zähle bis zehnzwei.,zahlen,1,sentence_generation
Verwende 'zehnzwei' in einem Satz.,Zehnzwei Dinge.,zahlen,1,sentence_generation
Was bedeutet 'tischbaum'?,Gerät zur Kommunikation (Variante),objekte,1,word_meaning
Zu welcher Kategorie gehört 'tischbaum'?,objekte,objekte,1,categorization
Verwende 'tischbaum' in einem Satz.,Das ist ein tischbaum.,objekte,1,sentence_generation
Verwende 'tischbaum' in einem Satz.,Ich brauche einen tischbaum.,objekte,1,sentence_generation
Was bedeutet 'gelb_var140'?,Alle Farben gemischt (Variante),farben,1,word_meaning
Zu welcher Kategorie gehört 'gelb_var140'?,farben,farben,1,categorization
Verwende 'gelb_var140' in einem Satz.,Das ist gelb_var140.,farben,1,sentence_generation
Verwende 'gelb_var140' in einem Satz.,Ich sehe etwas gelb_var140es.,farben,1,sentence_generation
Was bedeutet 'schwarzviolett'?,Farbe des Himmels (Variante),farben,1,word_meaning
Zu welcher Kategorie gehört 'schwarzviolett'?,farben,farben,1,categorization
