word,category,meaning,complexity,examples
rennengehen,bewegungen,Sich langsam fortbewegen (Variante),2,"['Ich kann rennengehen.', 'Wir rennengehen zusammen.', 'Rennengehen ist eine Bewegung.']"
nicht_var125,logik,Schlussfolgerung (Variante),5,"['Nicht_var125 das stimmt.', 'Das ist nicht_var125 wahr.', 'Nicht_var125 bedeutet...']"
oderund,logik,Verbindung (Variante),5,"['Oderund das stimmt.', 'Das ist oderund wahr.', 'Oderund bedeutet...']"
wennweil,logik,Gegensatz (Variante),5,"['Wennweil das stimmt.', 'Das ist wennweil wahr.', 'Wennweil bedeutet...']"
weile,logik,Gegensatz (Variante),5,"['Weile das stimmt.', 'Das ist weile wahr.', 'Weile bedeutet...']"
haus_var117,objekte,Gebäude zum Wohnen (Variante),1,"['Das ist ein haus_var117.', 'Ich brauche einen haus_var117.', 'Der haus_var117 ist hier.']"
vierzehn,zahlen,Zahl 10 (Variante),1,"['Ich zähle bis vierzehn.', 'Vierzehn Dinge.', 'Das sind vierzehn Objekte.']"
wachkalt,zustände,Bedürfnis nach Schlaf (Variante),2,"['Ich bin wachkalt.', 'Du siehst wachkalt aus.', 'Wachkalt fühlen ist normal.']"
schwarzbraun,farben,Abwesenheit von Licht (Variante),1,"['Das ist schwarzbraun.', 'Ich sehe etwas schwarzbraunes.', 'Schwarzbraun ist eine Farbe.']"
bewerten_var103,aktionen,Systematisch untersuchen (Variante),4,"['Ich bewerten_var103 darüber.', 'Wir müssen bewerten_var103.', 'Bewerten_var103 ist wichtig.']"
nichtdann,logik,Alternative (Variante),5,"['Nichtdann das stimmt.', 'Das ist nichtdann wahr.', 'Nichtdann bedeutet...']"
traurigkrank,zustände,Bedürfnis nach Schlaf (Variante),2,"['Ich bin traurigkrank.', 'Du siehst traurigkrank aus.', 'Traurigkrank fühlen ist normal.']"
kriechen_var117,bewegungen,Sich in die Luft bewegen (Variante),2,"['Ich kann kriechen_var117.', 'Wir kriechen_var117 zusammen.', 'Kriechen_var117 ist eine Bewegung.']"
zehnneun,zahlen,Zahl 7 (Variante),1,"['Ich zähle bis zehnneun.', 'Zehnneun Dinge.', 'Das sind zehnneun Objekte.']"
gelbschwarz,farben,Abwesenheit von Licht (Variante),1,"['Das ist gelbschwarz.', 'Ich sehe etwas gelbschwarzes.', 'Gelbschwarz ist eine Farbe.']"
orangegrün,farben,Farbe der Sonne (Variante),1,"['Das ist orangegrün.', 'Ich sehe etwas orangegrünes.', 'Orangegrün ist eine Farbe.']"
weißrosa,farben,Farbe der Blätter (Variante),1,"['Das ist weißrosa.', 'Ich sehe etwas weißrosaes.', 'Weißrosa ist eine Farbe.']"
buch_var125,objekte,Gebäude zum Wohnen (Variante),1,"['Das ist ein buch_var125.', 'Ich brauche einen buch_var125.', 'Der buch_var125 ist hier.']"
fenster_var141,objekte,Sammlung von Seiten (Variante),1,"['Das ist ein fenster_var141.', 'Ich brauche einen fenster_var141.', 'Der fenster_var141 ist hier.']"
autohaus,objekte,Gebäude zum Wohnen (Variante),1,"['Das ist ein autohaus.', 'Ich brauche einen autohaus.', 'Der autohaus ist hier.']"
